"TestIndex","TestId","ManifoldId","Run","Pass","Symbol","MarketGroup","Segment","FromDate","ToDate","SetFile","Report","ExpectedReport","IsUS100"
"33","0033_RUN3_Pass1483_UKOIL_IS","RUN3_Pass1483","RUN3","1483","UKOIL","Energy","IS","2005.04.01","2012.01.01","ImpulseContinuation_ExpandedBasket_RUN3_Pass1483.set","reports\expanded_basket\UKOIL_D1StopLossSplit_RUN3_Pass1483_IS_20050401_20120101.xml","reports\expanded_basket\UKOIL_D1StopLossSplit_RUN3_Pass1483_IS_20050401_20120101.xml.htm","False"
"34","0034_RUN3_Pass1483_UKOIL_VAL","RUN3_Pass1483","RUN3","1483","UKOIL","Energy","VAL","2012.01.01","2018.01.01","ImpulseContinuation_ExpandedBasket_RUN3_Pass1483.set","reports\expanded_basket\UKOIL_D1StopLossSplit_RUN3_Pass1483_VAL_20120101_20180101.xml","reports\expanded_basket\UKOIL_D1StopLossSplit_RUN3_Pass1483_VAL_20120101_20180101.xml.htm","False"
"35","0035_RUN3_Pass1483_UKOIL_OOS","RUN3_Pass1483","RUN3","1483","UKOIL","Energy","OOS","2018.01.01","2026.05.31","ImpulseContinuation_ExpandedBasket_RUN3_Pass1483.set","reports\expanded_basket\UKOIL_D1StopLossSplit_RUN3_Pass1483_OOS_20180101_20260531.xml","reports\expanded_basket\UKOIL_D1StopLossSplit_RUN3_Pass1483_OOS_20180101_20260531.xml.htm","False"
"36","0036_RUN1_Pass3157_EURUSD_IS","RUN1_Pass3157","RUN1","3157","EURUSD","FX","IS","2000.01.01","2012.01.01","ImpulseContinuation_ExpandedBasket_RUN1_Pass3157.set","reports\expanded_basket\EURUSD_D1StopLossSplit_RUN1_Pass3157_IS_20000101_20120101.xml","reports\expanded_basket\EURUSD_D1StopLossSplit_RUN1_Pass3157_IS_20000101_20120101.xml.htm","False"
"37","0037_RUN1_Pass3157_EURUSD_VAL","RUN1_Pass3157","RUN1","3157","EURUSD","FX","VAL","2012.01.01","2018.01.01","ImpulseContinuation_ExpandedBasket_RUN1_Pass3157.set","reports\expanded_basket\EURUSD_D1StopLossSplit_RUN1_Pass3157_VAL_20120101_20180101.xml","reports\expanded_basket\EURUSD_D1StopLossSplit_RUN1_Pass3157_VAL_20120101_20180101.xml.htm","False"
"38","0038_RUN1_Pass3157_EURUSD_OOS","RUN1_Pass3157","RUN1","3157","EURUSD","FX","OOS","2018.01.01","2026.05.31","ImpulseContinuation_ExpandedBasket_RUN1_Pass3157.set","reports\expanded_basket\EURUSD_D1StopLossSplit_RUN1_Pass3157_OOS_20180101_20260531.xml","reports\expanded_basket\EURUSD_D1StopLossSplit_RUN1_Pass3157_OOS_20180101_20260531.xml.htm","False"
"39","0039_RUN1_Pass3157_GBPUSD_IS","RUN1_Pass3157","RUN1","3157","GBPUSD","FX","IS","2000.01.01","2012.01.01","ImpulseContinuation_ExpandedBasket_RUN1_Pass3157.set","reports\expanded_basket\GBPUSD_D1StopLossSplit_RUN1_Pass3157_IS_20000101_20120101.xml","reports\expanded_basket\GBPUSD_D1StopLossSplit_RUN1_Pass3157_IS_20000101_20120101.xml.htm","False"
"40","0040_RUN1_Pass3157_GBPUSD_VAL","RUN1_Pass3157","RUN1","3157","GBPUSD","FX","VAL","2012.01.01","2018.01.01","ImpulseContinuation_ExpandedBasket_RUN1_Pass3157.set","reports\expanded_basket\GBPUSD_D1StopLossSplit_RUN1_Pass3157_VAL_20120101_20180101.xml","reports\expanded_basket\GBPUSD_D1StopLossSplit_RUN1_Pass3157_VAL_20120101_20180101.xml.htm","False"
"41","0041_RUN1_Pass3157_GBPUSD_OOS","RUN1_Pass3157","RUN1","3157","GBPUSD","FX","OOS","2018.01.01","2026.05.31","ImpulseContinuation_ExpandedBasket_RUN1_Pass3157.set","reports\expanded_basket\GBPUSD_D1StopLossSplit_RUN1_Pass3157_OOS_20180101_20260531.xml","reports\expanded_basket\GBPUSD_D1StopLossSplit_RUN1_Pass3157_OOS_20180101_20260531.xml.htm","False"
"42","0042_RUN1_Pass3157_USDJPY_IS","RUN1_Pass3157","RUN1","3157","USDJPY","FX","IS","2000.01.01","2012.01.01","ImpulseContinuation_ExpandedBasket_RUN1_Pass3157.set","reports\expanded_basket\USDJPY_D1StopLossSplit_RUN1_Pass3157_IS_20000101_20120101.xml","reports\expanded_basket\USDJPY_D1StopLossSplit_RUN1_Pass3157_IS_20000101_20120101.xml.htm","False"
"43","0043_RUN1_Pass3157_USDJPY_VAL","RUN1_Pass3157","RUN1","3157","USDJPY","FX","VAL","2012.01.01","2018.01.01","ImpulseContinuation_ExpandedBasket_RUN1_Pass3157.set","reports\expanded_basket\USDJPY_D1StopLossSplit_RUN1_Pass3157_VAL_20120101_20180101.xml","reports\expanded_basket\USDJPY_D1StopLossSplit_RUN1_Pass3157_VAL_20120101_20180101.xml.htm","False"
"44","0044_RUN1_Pass3157_USDJPY_OOS","RUN1_Pass3157","RUN1","3157","USDJPY","FX","OOS","2018.01.01","2026.05.31","ImpulseContinuation_ExpandedBasket_RUN1_Pass3157.set","reports\expanded_basket\USDJPY_D1StopLossSplit_RUN1_Pass3157_OOS_20180101_20260531.xml","reports\expanded_basket\USDJPY_D1StopLossSplit_RUN1_Pass3157_OOS_20180101_20260531.xml.htm","False"
"45","0045_RUN1_Pass3157_EURJPY_IS","RUN1_Pass3157","RUN1","3157","EURJPY","FX","IS","2000.01.01","2012.01.01","ImpulseContinuation_ExpandedBasket_RUN1_Pass3157.set","reports\expanded_basket\EURJPY_D1StopLossSplit_RUN1_Pass3157_IS_20000101_20120101.xml","reports\expanded_basket\EURJPY_D1StopLossSplit_RUN1_Pass3157_IS_20000101_20120101.xml.htm","False"
"46","0046_RUN1_Pass3157_EURJPY_VAL","RUN1_Pass3157","RUN1","3157","EURJPY","FX","VAL","2012.01.01","2018.01.01","ImpulseContinuation_ExpandedBasket_RUN1_Pass3157.set","reports\expanded_basket\EURJPY_D1StopLossSplit_RUN1_Pass3157_VAL_20120101_20180101.xml","reports\expanded_basket\EURJPY_D1StopLossSplit_RUN1_Pass3157_VAL_20120101_20180101.xml.htm","False"
"47","0047_RUN1_Pass3157_EURJPY_OOS","RUN1_Pass3157","RUN1","3157","EURJPY","FX","OOS","2018.01.01","2026.05.31","ImpulseContinuation_ExpandedBasket_RUN1_Pass3157.set","reports\expanded_basket\EURJPY_D1StopLossSplit_RUN1_Pass3157_OOS_20180101_20260531.xml","reports\expanded_basket\EURJPY_D1StopLossSplit_RUN1_Pass3157_OOS_20180101_20260531.xml.htm","False"
"48","0048_RUN1_Pass3157_XAUUSD_IS","RUN1_Pass3157","RUN1","3157","XAUUSD","Metals","IS","2006.04.01","2012.01.01","ImpulseContinuation_ExpandedBasket_RUN1_Pass3157.set","reports\expanded_basket\XAUUSD_D1StopLossSplit_RUN1_Pass3157_IS_20060401_20120101.xml","reports\expanded_basket\XAUUSD_D1StopLossSplit_RUN1_Pass3157_IS_20060401_20120101.xml.htm","False"
"49","0049_RUN1_Pass3157_XAUUSD_VAL","RUN1_Pass3157","RUN1","3157","XAUUSD","Metals","VAL","2012.01.01","2018.01.01","ImpulseContinuation_ExpandedBasket_RUN1_Pass3157.set","reports\expanded_basket\XAUUSD_D1StopLossSplit_RUN1_Pass3157_VAL_20120101_20180101.xml","reports\expanded_basket\XAUUSD_D1StopLossSplit_RUN1_Pass3157_VAL_20120101_20180101.xml.htm","False"
"50","0050_RUN1_Pass3157_XAUUSD_OOS","RUN1_Pass3157","RUN1","3157","XAUUSD","Metals","OOS","2018.01.01","2026.05.31","ImpulseContinuation_ExpandedBasket_RUN1_Pass3157.set","reports\expanded_basket\XAUUSD_D1StopLossSplit_RUN1_Pass3157_OOS_20180101_20260531.xml","reports\expanded_basket\XAUUSD_D1StopLossSplit_RUN1_Pass3157_OOS_20180101_20260531.xml.htm","False"
"51","0051_RUN1_Pass3157_XAGUSD_IS","RUN1_Pass3157","RUN1","3157","XAGUSD","Metals","IS","2006.04.01","2012.01.01","ImpulseContinuation_ExpandedBasket_RUN1_Pass3157.set","reports\expanded_basket\XAGUSD_D1StopLossSplit_RUN1_Pass3157_IS_20060401_20120101.xml","reports\expanded_basket\XAGUSD_D1StopLossSplit_RUN1_Pass3157_IS_20060401_20120101.xml.htm","False"
"52","0052_RUN1_Pass3157_XAGUSD_VAL","RUN1_Pass3157","RUN1","3157","XAGUSD","Metals","VAL","2012.01.01","2018.01.01","ImpulseContinuation_ExpandedBasket_RUN1_Pass3157.set","reports\expanded_basket\XAGUSD_D1StopLossSplit_RUN1_Pass3157_VAL_20120101_20180101.xml","reports\expanded_basket\XAGUSD_D1StopLossSplit_RUN1_Pass3157_VAL_20120101_20180101.xml.htm","False"
"53","0053_RUN1_Pass3157_XAGUSD_OOS","RUN1_Pass3157","RUN1","3157","XAGUSD","Metals","OOS","2018.01.01","2026.05.31","ImpulseContinuation_ExpandedBasket_RUN1_Pass3157.set","reports\expanded_basket\XAGUSD_D1StopLossSplit_RUN1_Pass3157_OOS_20180101_20260531.xml","reports\expanded_basket\XAGUSD_D1StopLossSplit_RUN1_Pass3157_OOS_20180101_20260531.xml.htm","False"
"54","0054_RUN1_Pass3157_US500_IS","RUN1_Pass3157","RUN1","3157","US500","Indices","IS","2005.01.01","2012.01.01","ImpulseContinuation_ExpandedBasket_RUN1_Pass3157.set","reports\expanded_basket\US500_D1StopLossSplit_RUN1_Pass3157_IS_20050101_20120101.xml","reports\expanded_basket\US500_D1StopLossSplit_RUN1_Pass3157_IS_20050101_20120101.xml.htm","False"
"55","0055_RUN1_Pass3157_US500_VAL","RUN1_Pass3157","RUN1","3157","US500","Indices","VAL","2012.01.01","2018.01.01","ImpulseContinuation_ExpandedBasket_RUN1_Pass3157.set","reports\expanded_basket\US500_D1StopLossSplit_RUN1_Pass3157_VAL_20120101_20180101.xml","reports\expanded_basket\US500_D1StopLossSplit_RUN1_Pass3157_VAL_20120101_20180101.xml.htm","False"
"56","0056_RUN1_Pass3157_US500_OOS","RUN1_Pass3157","RUN1","3157","US500","Indices","OOS","2018.01.01","2026.05.31","ImpulseContinuation_ExpandedBasket_RUN1_Pass3157.set","reports\expanded_basket\US500_D1StopLossSplit_RUN1_Pass3157_OOS_20180101_20260531.xml","reports\expanded_basket\US500_D1StopLossSplit_RUN1_Pass3157_OOS_20180101_20260531.xml.htm","False"
"57","0057_RUN1_Pass3157_US30_IS","RUN1_Pass3157","RUN1","3157","US30","Indices","IS","2005.01.01","2012.01.01","ImpulseContinuation_ExpandedBasket_RUN1_Pass3157.set","reports\expanded_basket\US30_D1StopLossSplit_RUN1_Pass3157_IS_20050101_20120101.xml","reports\expanded_basket\US30_D1StopLossSplit_RUN1_Pass3157_IS_20050101_20120101.xml.htm","False"
"58","0058_RUN1_Pass3157_US30_VAL","RUN1_Pass3157","RUN1","3157","US30","Indices","VAL","2012.01.01","2018.01.01","ImpulseContinuation_ExpandedBasket_RUN1_Pass3157.set","reports\expanded_basket\US30_D1StopLossSplit_RUN1_Pass3157_VAL_20120101_20180101.xml","reports\expanded_basket\US30_D1StopLossSplit_RUN1_Pass3157_VAL_20120101_20180101.xml.htm","False"
"59","0059_RUN1_Pass3157_US30_OOS","RUN1_Pass3157","RUN1","3157","US30","Indices","OOS","2018.01.01","2026.05.31","ImpulseContinuation_ExpandedBasket_RUN1_Pass3157.set","reports\expanded_basket\US30_D1StopLossSplit_RUN1_Pass3157_OOS_20180101_20260531.xml","reports\expanded_basket\US30_D1StopLossSplit_RUN1_Pass3157_OOS_20180101_20260531.xml.htm","False"
"60","0060_RUN1_Pass3157_US100_VAL","RUN1_Pass3157","RUN1","3157","US100","Indices","VAL","2014.09.15","2018.01.01","ImpulseContinuation_ExpandedBasket_RUN1_Pass3157.set","reports\expanded_basket\US100_D1StopLossSplit_RUN1_Pass3157_VAL_20140915_20180101.xml","reports\expanded_basket\US100_D1StopLossSplit_RUN1_Pass3157_VAL_20140915_20180101.xml.htm","True"
"61","0061_RUN1_Pass3157_US100_OOS","RUN1_Pass3157","RUN1","3157","US100","Indices","OOS","2018.01.01","2026.05.31","ImpulseContinuation_ExpandedBasket_RUN1_Pass3157.set","reports\expanded_basket\US100_D1StopLossSplit_RUN1_Pass3157_OOS_20180101_20260531.xml","reports\expanded_basket\US100_D1StopLossSplit_RUN1_Pass3157_OOS_20180101_20260531.xml.htm","True"
"62","0062_RUN1_Pass3157_UK100_IS","RUN1_Pass3157","RUN1","3157","UK100","Indices","IS","2008.06.01","2012.01.01","ImpulseContinuation_ExpandedBasket_RUN1_Pass3157.set","reports\expanded_basket\UK100_D1StopLossSplit_RUN1_Pass3157_IS_20080601_20120101.xml","reports\expanded_basket\UK100_D1StopLossSplit_RUN1_Pass3157_IS_20080601_20120101.xml.htm","False"
"63","0063_RUN1_Pass3157_UK100_VAL","RUN1_Pass3157","RUN1","3157","UK100","Indices","VAL","2012.01.01","2018.01.01","ImpulseContinuation_ExpandedBasket_RUN1_Pass3157.set","reports\expanded_basket\UK100_D1StopLossSplit_RUN1_Pass3157_VAL_20120101_20180101.xml","reports\expanded_basket\UK100_D1StopLossSplit_RUN1_Pass3157_VAL_20120101_20180101.xml.htm","False"
