"TestIndex","TestId","Pass","Symbol","MarketGroup","Segment","FromDate","ToDate","SetFile","Report","ExpectedReport"
"30","0030_Pass3044_GBPUSD_IS","3044","GBPUSD","FX","IS","2000.01.01","2012.01.01","ImpulseContinuation_EURUSD_Funded_Pass3044.set","reports\funded_cross_symbol\GBPUSD_D1StopLossSplit_Funded_Pass3044_IS_20000101_20120101.xml","reports\funded_cross_symbol\GBPUSD_D1StopLossSplit_Funded_Pass3044_IS_20000101_20120101.xml.htm"
"31","0031_Pass3044_GBPUSD_VAL","3044","GBPUSD","FX","VAL","2012.01.01","2018.01.01","ImpulseContinuation_EURUSD_Funded_Pass3044.set","reports\funded_cross_symbol\GBPUSD_D1StopLossSplit_Funded_Pass3044_VAL_20120101_20180101.xml","reports\funded_cross_symbol\GBPUSD_D1StopLossSplit_Funded_Pass3044_VAL_20120101_20180101.xml.htm"
"32","0032_Pass3044_GBPUSD_OOS","3044","GBPUSD","FX","OOS","2018.01.01","2026.06.01","ImpulseContinuation_EURUSD_Funded_Pass3044.set","reports\funded_cross_symbol\GBPUSD_D1StopLossSplit_Funded_Pass3044_OOS_20180101_20260601.xml","reports\funded_cross_symbol\GBPUSD_D1StopLossSplit_Funded_Pass3044_OOS_20180101_20260601.xml.htm"
"33","0033_Pass3044_USDJPY_IS","3044","USDJPY","FX","IS","2000.01.01","2012.01.01","ImpulseContinuation_EURUSD_Funded_Pass3044.set","reports\funded_cross_symbol\USDJPY_D1StopLossSplit_Funded_Pass3044_IS_20000101_20120101.xml","reports\funded_cross_symbol\USDJPY_D1StopLossSplit_Funded_Pass3044_IS_20000101_20120101.xml.htm"
"34","0034_Pass3044_USDJPY_VAL","3044","USDJPY","FX","VAL","2012.01.01","2018.01.01","ImpulseContinuation_EURUSD_Funded_Pass3044.set","reports\funded_cross_symbol\USDJPY_D1StopLossSplit_Funded_Pass3044_VAL_20120101_20180101.xml","reports\funded_cross_symbol\USDJPY_D1StopLossSplit_Funded_Pass3044_VAL_20120101_20180101.xml.htm"
"35","0035_Pass3044_USDJPY_OOS","3044","USDJPY","FX","OOS","2018.01.01","2026.06.01","ImpulseContinuation_EURUSD_Funded_Pass3044.set","reports\funded_cross_symbol\USDJPY_D1StopLossSplit_Funded_Pass3044_OOS_20180101_20260601.xml","reports\funded_cross_symbol\USDJPY_D1StopLossSplit_Funded_Pass3044_OOS_20180101_20260601.xml.htm"
"36","0036_Pass3044_EURJPY_IS","3044","EURJPY","FX","IS","2000.01.01","2012.01.01","ImpulseContinuation_EURUSD_Funded_Pass3044.set","reports\funded_cross_symbol\EURJPY_D1StopLossSplit_Funded_Pass3044_IS_20000101_20120101.xml","reports\funded_cross_symbol\EURJPY_D1StopLossSplit_Funded_Pass3044_IS_20000101_20120101.xml.htm"
"37","0037_Pass3044_EURJPY_VAL","3044","EURJPY","FX","VAL","2012.01.01","2018.01.01","ImpulseContinuation_EURUSD_Funded_Pass3044.set","reports\funded_cross_symbol\EURJPY_D1StopLossSplit_Funded_Pass3044_VAL_20120101_20180101.xml","reports\funded_cross_symbol\EURJPY_D1StopLossSplit_Funded_Pass3044_VAL_20120101_20180101.xml.htm"
"38","0038_Pass3044_EURJPY_OOS","3044","EURJPY","FX","OOS","2018.01.01","2026.06.01","ImpulseContinuation_EURUSD_Funded_Pass3044.set","reports\funded_cross_symbol\EURJPY_D1StopLossSplit_Funded_Pass3044_OOS_20180101_20260601.xml","reports\funded_cross_symbol\EURJPY_D1StopLossSplit_Funded_Pass3044_OOS_20180101_20260601.xml.htm"
"39","0039_Pass3044_XAUUSD_IS","3044","XAUUSD","Metals","IS","2000.01.01","2012.01.01","ImpulseContinuation_EURUSD_Funded_Pass3044.set","reports\funded_cross_symbol\XAUUSD_D1StopLossSplit_Funded_Pass3044_IS_20000101_20120101.xml","reports\funded_cross_symbol\XAUUSD_D1StopLossSplit_Funded_Pass3044_IS_20000101_20120101.xml.htm"
"40","0040_Pass3044_XAUUSD_VAL","3044","XAUUSD","Metals","VAL","2012.01.01","2018.01.01","ImpulseContinuation_EURUSD_Funded_Pass3044.set","reports\funded_cross_symbol\XAUUSD_D1StopLossSplit_Funded_Pass3044_VAL_20120101_20180101.xml","reports\funded_cross_symbol\XAUUSD_D1StopLossSplit_Funded_Pass3044_VAL_20120101_20180101.xml.htm"
"41","0041_Pass3044_XAUUSD_OOS","3044","XAUUSD","Metals","OOS","2018.01.01","2026.06.01","ImpulseContinuation_EURUSD_Funded_Pass3044.set","reports\funded_cross_symbol\XAUUSD_D1StopLossSplit_Funded_Pass3044_OOS_20180101_20260601.xml","reports\funded_cross_symbol\XAUUSD_D1StopLossSplit_Funded_Pass3044_OOS_20180101_20260601.xml.htm"
"42","0042_Pass3044_XAGUSD_IS","3044","XAGUSD","Metals","IS","2000.01.01","2012.01.01","ImpulseContinuation_EURUSD_Funded_Pass3044.set","reports\funded_cross_symbol\XAGUSD_D1StopLossSplit_Funded_Pass3044_IS_20000101_20120101.xml","reports\funded_cross_symbol\XAGUSD_D1StopLossSplit_Funded_Pass3044_IS_20000101_20120101.xml.htm"
"43","0043_Pass3044_XAGUSD_VAL","3044","XAGUSD","Metals","VAL","2012.01.01","2018.01.01","ImpulseContinuation_EURUSD_Funded_Pass3044.set","reports\funded_cross_symbol\XAGUSD_D1StopLossSplit_Funded_Pass3044_VAL_20120101_20180101.xml","reports\funded_cross_symbol\XAGUSD_D1StopLossSplit_Funded_Pass3044_VAL_20120101_20180101.xml.htm"
"44","0044_Pass3044_XAGUSD_OOS","3044","XAGUSD","Metals","OOS","2018.01.01","2026.06.01","ImpulseContinuation_EURUSD_Funded_Pass3044.set","reports\funded_cross_symbol\XAGUSD_D1StopLossSplit_Funded_Pass3044_OOS_20180101_20260601.xml","reports\funded_cross_symbol\XAGUSD_D1StopLossSplit_Funded_Pass3044_OOS_20180101_20260601.xml.htm"
"45","0045_Pass3044_US500_IS","3044","US500","Indices","IS","2000.01.01","2012.01.01","ImpulseContinuation_EURUSD_Funded_Pass3044.set","reports\funded_cross_symbol\US500_D1StopLossSplit_Funded_Pass3044_IS_20000101_20120101.xml","reports\funded_cross_symbol\US500_D1StopLossSplit_Funded_Pass3044_IS_20000101_20120101.xml.htm"
"46","0046_Pass3044_US500_VAL","3044","US500","Indices","VAL","2012.01.01","2018.01.01","ImpulseContinuation_EURUSD_Funded_Pass3044.set","reports\funded_cross_symbol\US500_D1StopLossSplit_Funded_Pass3044_VAL_20120101_20180101.xml","reports\funded_cross_symbol\US500_D1StopLossSplit_Funded_Pass3044_VAL_20120101_20180101.xml.htm"
"47","0047_Pass3044_US500_OOS","3044","US500","Indices","OOS","2018.01.01","2026.06.01","ImpulseContinuation_EURUSD_Funded_Pass3044.set","reports\funded_cross_symbol\US500_D1StopLossSplit_Funded_Pass3044_OOS_20180101_20260601.xml","reports\funded_cross_symbol\US500_D1StopLossSplit_Funded_Pass3044_OOS_20180101_20260601.xml.htm"
